repo,issue_url,Defect Pattern,description,status,impact,layer,Host/server Repository,resolution_url,fix,source_location,
webfansplz/vite-plugin-vue-mcp,https://github.com/webfansplz/vite-plugin-vue-mcp/issues/1,Server Launch Context Mismatch,Plugin parsed `.cursor/mcp.json`; empty/invalid content threw 'Unexpected end of JSON input' and blocked MCP init.,closed,UNR,Host,Server ,https://github.com/webfansplz/vite-plugin-vue-mcp/commit/e45a0ae56fffbc84e60b1000ee6ddb8786ef9f23,Add safe fallback when parsing (default `{}`) so bootstrap and discovery can proceed.,src/index.ts
lastmile-ai/mcp-agent,https://github.com/lastmile-ai/mcp-agent/issues/31,Server Launch Context Mismatch,Agent startup aborted because programmatic settings weren't stored in the global registry; lookup found no servers.,closed,UNR,Host,Host,https://github.com/lastmile-ai/mcp-agent/commit/91a690476e41b699374bd45abe706c78d6a9ab58,Store settings globally via `initialize_context(...store_globally=True)`.,src/mcp_agent/app.py:124,
lastmile-ai/mcp-agent,https://github.com/lastmile-ai/mcp-agent/issues/20,Server Launch Context Mismatch,"YAML schema lacked an `env` section; server env vars were silently dropped, leading to missing tokens and early exit.",closed,UNR,Host,Host,https://github.com/lastmile-ai/mcp-agent/pull/18,Add `env` schema key and explicitly merge env.,schema/mcp-agent.config.schema.json:575-590
grab/cursor-talk-to-figma-mcp,https://github.com/grab/cursor-talk-to-figma-mcp/issues/92,Server Launch Context Mismatch,Cursor showed '0 tools enabled'. Root cause: relative paths in mcpServers config; host couldn't spawn/locate the server.,closed,UNR,Host,Server ,https://github.com/grab/cursor-talk-to-figma-mcp/issues/92#issuecomment-3043407017,Use absolute paths for both `command` and `args` in the mcpServers config.,src/talk_to_figma_mcp/server.ts,,
grab/cursor-talk-to-figma-mcp,https://github.com/grab/cursor-talk-to-figma-mcp/issues/9,Platform-Incorrect Server Launch,"In WSL2, launching via bun with Linux paths from a Windows context led to 'No tools available'/'Client closed'.",closed,UNR|UIX,Host,Server ,,Launch within a single OS context or map paths consistently (absolute paths).,,,
grab/cursor-talk-to-figma-mcp,https://github.com/grab/cursor-talk-to-figma-mcp/issues/19,Platform-Incorrect Server Launch,"Similar WSL/Windows path mismatch blocked server bootstrap, preventing Host↔Server discovery and tool enablement.",closed,UNR,Host,Server ,https://github.com/grab/cursor-talk-to-figma-mcp/issues/9#issuecomment-2745099572,Apply the same canonical fix: install Bun on Windows and switch to absolute paths in `mcp.json` so the Host spawns the server in the correct OS context.,mcpServers config (Cursor settings),,
grab/cursor-talk-to-figma-mcp,https://github.com/grab/cursor-talk-to-figma-mcp/issues/7,Platform-Incorrect Server Launch,Another instance of cross-environment path/launcher mismatch causing integration to fail before discovery/negotiation.,open,UNR,Host,Server ,https://github.com/grab/cursor-talk-to-figma-mcp/issues/9#issuecomment-2745099572,Use the same resolution steps as #9: Bun install via PowerShell and absolute Windows paths in `mcp.json` for `command` and `args`.,mcpServers config (Cursor settings),,
LSTM-Kirigaya/openmcp-client,https://github.com/LSTM-Kirigaya/openmcp-client/issues/19,Platform-Incorrect Server Launch,MCP client misdetected the Node.js runtime path and failed to spawn the MCP server.,closed,UNR,MCP-Client,Host,https://github.com/LSTM-Kirigaya/openmcp-client/commit/21eea008181fe636bab7a9adb56f96c2e079b602,Removed redundant STDIO validation to allow proper client-server bootstrap.,src/openmcp_client/stdio_manager.py:88,,
continuedev/continue,https://github.com/continuedev/continue/issues/4874,Platform-Incorrect Server Launch,"On Windows, `npx` appeared in PATH but could not be invoked from the host due to missing `cmd.exe /c` wrapping; prevented MCP server startup via `npx` transports.",closed,UNR,MCP-Client,Host,https://github.com/continuedev/continue/pull/5631,"Wrap all batch-script transports (e.g., `npx`, `uvx`) with `cmd.exe /c` on Windows.",src/features/mcp/MCPConnection.ts,,
continuedev/continue,https://github.com/continuedev/continue/issues/4791,Platform-Incorrect Server Launch,Shell-based transports such as `uvx` or `deno` failed to launch on Windows because their batch entrypoints were not shell-wrapped.,closed,UNR,MCP-Client,Host,https://github.com/continuedev/continue/pull/5631,Shell-wrap transports using `cmd.exe /c` if the executable is a `.cmd`/`.bat` or unresolved alias.,src/features/mcp/MCPConnection.ts,,
continuedev/continue,https://github.com/continuedev/continue/issues/4913,Platform-Incorrect Server Launch,"Host failed to retry alternative transport paths when the primary executable failed to launch, making Windows bootstrap brittle.",closed,UNR|PRF,MCP-Client,Host,https://github.com/continuedev/continue/pull/5631,Improve path resolution and fallback behavior; add tests for alternate wrapping.,src/features/mcp/MCPConnection.ts,,
All-Hands-AI/OpenHands,https://github.com/OpenHands/OpenHands/issues/8285,Unrecoverable MCPServer Session,"SSE servers configured via mcp.sse_servers connected but runtime also pursued an internal/sandbox SSE path, leading to validation errors and ClosedResourceError when invoking tools.",closed,UNR,MCP-Host,Host,https://github.com/All-Hands-AI/OpenHands/pull/8353/commits/3a025d323ad614df6806c97e19b225d19007b236,Skip POST /update_mcp_server when no stdio servers; validate SSE path with new integration test; ensures SSE-only setups work.,openhands/runtime/impl/action_execution/action_execution_client.py,,
continuedev/continue,https://github.com/continuedev/continue/issues/6508,Platform-Incorrect Server Launch,Host fails to connect to JetBrains MCP Proxy via npx stdio; handshake never completes.,open,UNR,MCP-Host,Host,,,,,
grab/cursor-talk-to-figma-mcp,https://github.com/grab/cursor-talk-to-figma-mcp/issues/98,Server Launch Context Mismatch,`join_channel` was invoked with missing parameters from host config; caused downstream plugin interaction failure.,open,UNR,MCP-Host,Server ,https://github.com/grab/cursor-talk-to-figma-mcp/issues/96#issuecomment-3064467774,Ensure host sends fully resolved parameter payloads during MCP handshake.,src/index.ts,,
jlowin/fastmcp,https://github.com/jlowin/fastmcp/issues/585,Server Launch Context Mismatch,"Using `/mcp` instead of `/mcp/` redirected and raced, ending with `RuntimeError: Received request before initialization was complete`.",closed,UNR,MCP-Server,Server ,https://github.com/jlowin/fastmcp/pull/1387/commits/ede6bc008afc1348600c614437d61f5b04d2599e,Accept both paths or clearly require `/mcp/`; tighten routing/redirects to avoid pre-init requests.,fastmcp/server/http.py; mcp/server/streamable_http_manager.py,,
jlowin/fastmcp,https://github.com/jlowin/fastmcp/issues/1364,Server Launch Context Mismatch,`/mcp` behind API gateway trimmed slash and broke routing to the MCP app; 307 redirects caused failures.,closed,UNR,MCP-Server,Server ,https://github.com/jlowin/fastmcp/commit/ede6bc0,Handle both `/mcp` and `/mcp/` (Route vs Mount) to avoid 307 loops.,fastmcp/server/http.py,,
microsoft/azure-devops-mcp,https://github.com/microsoft/azure-devops-mcp/issues/209,Platform-Incorrect Server Launch,"WSL launch via `npx -y @azure-devops/mcp <org>` misparsed `<org>` as an npm package (orgname@latest), exiting before initialize and breaking the handshake; on Windows the server never responded to initialize and then exited.",closed,UNR,MCP-Server,Server ,,Harden command/arg parsing and quoting; require supported Node/npm; treat `<org>` strictly as positional arg and surface a clear error instead of hanging.,mcp.json,,
MarkusPfundstein/mcp-obsidian,https://github.com/MarkusPfundstein/mcp-obsidian/issues/3,Inactivity timeout,"Obsidian REST API PatchFailed errors weren't surfaced to the client, causing timeouts and leaving the plugin unresponsive; no incorrect result was produced.",closed,UNR|UIX,MCP-Server,Server ,https://github.com/MarkusPfundstein/mcp-obsidian/pull/69,Server now catches PatchFailed and returns explicit failure responses.,src/mcp_obsidian/obsidian.py|src/mcp_obsidian/tools.py,,
cso1z/Feishu-MCP,https://github.com/cso1z/Feishu-MCP/pull/10,Inactivity timeout,Feishu MCP server adapter closed connections after idle; clients could not issue multiple tools in one session.,closed,PRF,MCP-Server,Server ,https://github.com/cso1z/Feishu-MCP/pull/10/commits/a937921c598f2b6713d0ffc9310bef87858fc03b,Implement SSE keepalive/heartbeat in Feishu MCP adapter.,src/server.ts,,
