full_name,stars,html_url,language,Useful,description,classification,confidence_score,fetched_description
daodao97/chatmcp,2126,https://github.com/daodao97/chatmcp,Dart,Y,ChatMCP is an AI chat client implementing the Model Context Protocol (MCP).,MCP Application,100,ChatMCP is an AI chat client implementing the Model Context Protocol (MCP).
guinacio/langchain-mcp-client,46,https://github.com/guinacio/langchain-mcp-client,Python,"N - Only UI, very few issues","This Streamlit application provides a user interface for connecting to MCP (Model Context Protocol) servers and interacting with them using different LLM providers (OpenAI, Anthropic, Google, Ollama).",MCP Application,100,"This Streamlit application provides a user interface for connecting to MCP (Model Context Protocol) servers and interacting with them using different LLM providers (OpenAI, Anthropic, Google, Ollama)."
hyprmcp/jetski,184,https://github.com/hyprmcp/jetski,TypeScript,"Y - involves MCP, very few issues, 0 closed issues","Authentication, analytics, and prompt visibility for MCP servers with zero code changes. Supports OAuth2.1, DCR, real-time logs, and client onboarding out of the box",MCP Application,100,"Authentication, analytics, and prompt visibility for MCP servers with zero code changes. Supports OAuth2.1, DCR, real-time logs, and client onboarding out of the box"
lobehub/lobe-chat,68051,https://github.com/lobehub/lobe-chat,TypeScript,"Y - LLM UI, involves MCP, many issues, many closed issues","🤯 LobeHub - an open-source, modern design AI Agent Workspace. Supports multiple AI providers, Knowledge Base (file upload / RAG ), one click install MCP Marketplace and Artifacts / Thinking. One-click",AI Agent with MCP Workflow,100,"🤯 LobeHub - an open-source, modern design AI Agent Workspace. Supports multiple AI providers, Knowledge Base (file upload / RAG ), one click install MCP Marketplace and Artifacts / Thinking. One-click FREE deployment of your private AI Agent application."
activepieces/activepieces,19291,https://github.com/activepieces/activepieces,TypeScript,N,AI Agents & MCPs & AI Workflow Automation • (~400 MCP servers for AI agents) • AI Automation / AI Agent with MCPs • AI Workflows & AI Agents • MCPs for AI Agents,MCP Application Framework,100,AI Agents & MCPs & AI Workflow Automation • (~400 MCP servers for AI agents) • AI Automation / AI Agent with MCPs • AI Workflows & AI Agents • MCPs for AI Agents
QwenLM/Qwen-Agent,12467,https://github.com/QwenLM/Qwen-Agent,Python,"Y - involves MCP, relevant closed issues","Agent framework and applications built upon Qwen>=3.0, featuring Function Calling, MCP, Code Interpreter, RAG, Chrome extension, etc.",AI Agent with MCP Workflow,100,"Agent framework and applications built upon Qwen>=3.0, featuring Function Calling, MCP, Code Interpreter, RAG, Chrome extension, etc."
lastmile-ai/mcp-agent,7788,https://github.com/lastmile-ai/mcp-agent,Python,"Y- involves MCP, extremely relevant",Build effective agents using Model Context Protocol and simple workflow patterns,AI Agent with MCP Workflow,100,Build effective agents using Model Context Protocol and simple workflow patterns
campfirein/cipher,3264,https://github.com/campfirein/cipher,TypeScript,N,"Byterover Cipher is an opensource memory layer specifically designed for coding agents. Compatible with Cursor, Codex, Claude Code, Windsurf, Cline, Claude Desktop, Gemini CLI, AWS's Kiro, VS Code, Ro",AI Agent with MCP Workflow,100,"Byterover Cipher is an opensource memory layer specifically designed for coding agents. Compatible with Cursor, Codex, Claude Code, Windsurf, Cline, Claude Desktop, Gemini CLI, AWS's Kiro, VS Code, Roo Code, Trae, Amp Code and Warp through MCP. Built by https://byterover.dev/"
LSTM-Kirigaya/openmcp-client,656,https://github.com/LSTM-Kirigaya/openmcp-client,Vue,"Y- MCP server debugging.
",All in one vscode plugin for mcp developer,AI Agent with MCP Workflow,100,All in one vscode plugin for mcp developer
NitroRCr/AIaW,1606,https://github.com/NitroRCr/AIaW,TypeScript,"Y- relevant
","AI as Workspace - An elegant AI chat client. Full-featured, lightweight. Support multiple workspaces, plugin system, cross-platform, local first + real-time cloud sync, Artifacts, MCP | 更好的 AI 客户端",MCP Application,100,"AI as Workspace - An elegant AI chat client. Full-featured, lightweight. Support multiple workspaces, plugin system, cross-platform, local first + real-time cloud sync, Artifacts, MCP | 更好的 AI 客户端"
CoderGamester/mcp-unity,1104,https://github.com/CoderGamester/mcp-unity,C#,Y,"Model Context Protocol (MCP) plugin to connect with Unity Editor — designed for OpenAI, Gemini, Claude, Deepseek and Grok interoperability",MCP Application,100,"Model Context Protocol (MCP) plugin to connect with Unity Editor — designed for OpenAI, Gemini, Claude, Deepseek and Grok interoperability"
zinja-coder/zin-mcp-client,96,https://github.com/zinja-coder/zin-mcp-client,Python,N- No issues-read only ,"MCP Client which serves as bridge between mcp servers and local LLMs running on Ollama, Created for MCP Servers Developed by Me, However other MCP Servers may run as well",MCP Application,98,"MCP Client which serves as bridge between mcp servers and local LLMs running on Ollama, Created for MCP Servers Developed by Me, However other MCP Servers may run as well"
TencentCloudBase/CloudBase-AI-ToolKit,870,https://github.com/TencentCloudBase/CloudBase-AI-ToolKit,TypeScript,N,Connect CloudBase to your AI Agent. Go from AI prompt to live app in one click. CloudBase AI ToolKit is the bridge that connects your AI IDE directly to CloudBase. 连接 CloudBase 与您的 AI Agent。从 AI 提示词变为,MCP Application Framework,97,Connect CloudBase to your AI Agent. Go from AI prompt to live app in one click. CloudBase AI ToolKit is the bridge that connects your AI IDE directly to CloudBase. 连接 CloudBase 与您的 AI Agent。从 AI 提示词变为生产级应用。CloudBase AI ToolKit 是连接您的 AI IDE 与 CloudBase 的桥梁。
comet-ml/opik-mcp,186,https://github.com/comet-ml/opik-mcp,TypeScript,N,"Model Context Protocol (MCP) implementation for Opik enabling seamless IDE integration and unified access to prompts, projects, traces, and metrics. ",MCP Application,95,"Model Context Protocol (MCP) implementation for Opik enabling seamless IDE integration and unified access to prompts, projects, traces, and metrics. "
chongdashu/unreal-mcp,1039,https://github.com/chongdashu/unreal-mcp,C++,N,"Enable AI assistant clients like Cursor, Windsurf and Claude Desktop to control Unreal Engine through natural language using the Model Context Protocol (MCP).",MCP Application,93,"Enable AI assistant clients like Cursor, Windsurf and Claude Desktop to control Unreal Engine through natural language using the Model Context Protocol (MCP)."
